timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
92.00,1,1_0,flow_0.12,618.39,10.29
92.00,1,1_0,flow_0.11,662.56,11.02
92.00,1,1_0,flow_0.10,686.87,11.51
92.00,1,1_0,flow_0.9,767.05,13.33
92.00,1,1_0,flow_0.8,796.87,13.76
92.00,2,2_0,flow_1.20,32.68,13.76
92.00,2,2_0,flow_1.19,98.36,14.39
92.00,2,2_0,flow_1.18,150.62,13.17
92.00,2,2_0,flow_1.17,197.99,12.48
92.00,2,2_0,flow_1.16,319.24,13.99
92.00,2,2_0,flow_1.15,342.10,13.71
92.00,2,2_0,flow_1.14,408.08,13.68
92.00,2,2_0,flow_1.13,471.47,10.44
92.00,2,2_0,flow_1.12,492.66,10.99
92.00,2,2_0,flow_1.11,517.11,12.03
92.00,2,2_0,flow_1.10,576.97,11.78
92.00,2,2_0,flow_1.9,647.37,9.71
92.00,2,2_0,flow_1.8,710.64,12.53
92.00,2,2_0,flow_1.7,738.32,12.92
92.00,3,3_0,,,
92.00,3,3_1,flow_1.6,20.64,13.89
92.00,3,3_1,flow_0.7,54.58,13.89
92.00,3,3_1,flow_0.6,85.14,13.89
92.00,3,3_1,flow_0.5,115.69,13.89
92.00,3,3_1,flow_1.5,142.87,13.89
92.00,4,4_0,flow_1.4,16.40,13.89
92.00,4,4_0,flow_1.3,46.96,13.89
92.00,4,4_0,flow_0.4,80.91,13.89
92.00,4,4_0,flow_1.2,108.06,13.89
92.00,5,5_0,flow_0.3,56.68,13.89
92.00,5,5_0,flow_0.2,87.24,13.89
92.00,5,5_0,flow_1.1,114.41,13.89
92.00,5,5_0,flow_0.1,148.36,13.89
92.00,5,5_0,flow_1.0,175.51,13.89
92.00,5,5_0,flow_0.0,230.16,13.89
92.10,1,1_0,flow_0.25,36.71,15.00
92.10,1,1_0,flow_0.24,87.35,14.40
92.10,1,1_0,flow_0.23,145.56,15.08
92.10,1,1_0,flow_0.22,188.85,14.24
92.10,1,1_0,flow_0.21,252.40,14.02
92.10,1,1_0,flow_0.20,275.53,13.39
92.10,1,1_0,flow_0.19,339.26,14.12
92.10,1,1_0,flow_0.18,405.83,11.93
92.10,1,1_0,flow_0.17,426.19,11.73
92.10,1,1_0,flow_0.16,446.30,11.57
92.10,1,1_0,flow_0.15,480.76,10.56
92.10,1,1_0,flow_0.14,503.71,11.48
92.10,1,1_0,flow_0.13,529.27,12.69
92.10,1,1_0,flow_0.12,619.42,10.30
92.10,1,1_0,flow_0.11,663.67,11.03
92.10,1,1_0,flow_0.10,688.03,11.53
92.10,1,1_0,flow_0.9,768.39,13.34
